,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
152,3395073,13262,364D211223-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
153,3656961,14285,364D220224-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
154,3755265,14669,364D220324-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
155,2548737,9956,364D220623-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
156,3166721,12370,364D231123-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
157,2762753,10792,364D240823-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
158,2491905,9734,364D250523-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
159,3567361,13935,364D260124-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
160,2332673,9112,364D270423-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
161,2683905,10484,364D270723-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
162,2998017,11711,364D271023-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
163,2893569,11303,364D280923-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
164,3432193,13407,364D281223-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
165,3682305,14384,364D290224-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
166,2617857,10226,364D290623-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
167,3260929,12738,364D301123-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
168,2779649,10858,364D310823-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
169,1595393,6232,3IINFOLTD,3I INFOTECH,0.0,,0.0,0.05,1,EQ,NSE,NSE
170,121345,474,3MINDIA,3M INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
171,664321,2595,3PLAND,3P LAND HOLDINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE
172,1438977,5621,3RDROCK-IT,,0.0,,0.0,0.05,5200,EQ,NSE,NSE
173,903425,3529,426GS2023-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
174,5614337,21931,439MH23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
175,242433,947,448GS2023-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
176,5637377,22021,449RJ23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
177,5387521,21045,44HR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
178,5431041,21215,452BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
179,5700609,22268,454BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
180,5701377,22271,454RJ23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
181,5657857,22101,454TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
182,1782273,6962,456GS2023-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
183,273665,1069,45AS23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
184,5617921,21945,463MH23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
185,5666049,22133,463TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
186,1504257,5876,469ML23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
187,1788417,6986,473KA23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
188,1724417,6736,474KA23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
189,5617409,21943,476MH23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
190,1761793,6882,47KA23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
191,5646849,22058,489RJ23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
192,5728257,22376,493BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
193,1421825,5554,495ML24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
194,1413889,5523,497AS24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
195,5659137,22106,499TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
196,2781697,10866,4THDIM-BE,FOURTH DIMENSION SOL L,0.0,,0.0,0.05,1,EQ,NSE,NSE
197,5611009,21918,503KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
198,5736705,22409,505KL23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
199,5701121,22270,505RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
200,2049,8,507PY23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
201,2817,11,509CG23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
202,5605889,21898,509KL23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
203,5736449,22408,509TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
204,274177,1071,512BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
205,269825,1054,515GS2025-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
206,528129,2063,518KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
207,5736193,22407,51BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
208,4857857,18976,522GS2025-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
209,192513,752,524AS24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
210,1678081,6555,525AS24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
211,193281,755,527BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
212,2013185,7864,527GJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
213,38913,152,528BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
214,309761,1210,532AS25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
215,466177,1821,532AS26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
216,309505,1209,532CG25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
217,435201,1700,532RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
218,248577,971,535CG25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
219,387329,1513,535RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
220,213761,835,538CG25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
221,5643521,22045,538RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
222,779009,3043,539GJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
223,5718785,22339,539RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
224,514817,2011,539RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
225,308993,1207,53BR25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
226,72449,283,53RJ23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
227,5716737,22331,540CG24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
228,5717505,22334,541AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
229,434433,1697,541GA25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
230,681473,2662,542RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
231,779777,3046,543BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
232,5308417,20736,544AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
233,5606401,21900,544KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
234,5661697,22116,544TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
235,5191937,20281,545AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
236,5637633,22022,545RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
237,515073,2012,546PY25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
238,5659905,22109,546TN24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
239,648449,2533,547AS24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
240,5645057,22051,547RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
241,5708801,22300,549RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
242,150273,587,54BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
243,696833,2722,54KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
244,5746177,22446,552AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
245,649217,2536,552MP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
246,5610753,21917,553KL25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
247,819713,3202,563GS2026-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
248,5608193,21907,565KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
249,5645313,22052,565RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
250,1167873,4562,565TN25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
251,39681,155,568MH24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
252,5542145,21649,56HR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
253,3073,12,56MH24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
254,106497,416,56RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
255,482817,1886,572BR26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
256,1713921,6695,574GS2026-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
257,72961,285,575AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
258,5613569,21928,575KA25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
259,214017,836,575PY26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
260,5646081,22055,575RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
261,5658881,22105,575TN25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
262,5661953,22117,576TN24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
263,1999105,7809,577GJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
264,2050049,8008,577GJ25A-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
265,5706753,22292,577GS2030-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
266,5606913,21902,577KL25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
267,4827393,18857,579GS2030-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
268,73729,288,579KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
269,16129,63,57BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
270,5613313,21927,57KA26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
271,20481,80,57MH24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
272,495617,1936,582BR26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
273,466945,1824,582RJ27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
274,5681409,22193,582TS24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
275,343297,1341,585GS2030-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
276,435969,1703,588CG26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
277,780545,3049,588GJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
278,5298433,20697,589AP25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
