,placed_by,order_id,exchange_order_id,parent_order_id,status,status_message,status_message_raw,order_timestamp,exchange_update_timestamp,exchange_timestamp,variety,modified,exchange,tradingsymbol,instrument_token,order_type,transaction_type,validity,validity_ttl,product,quantity,disclosed_quantity,price,trigger_price,average_price,filled_quantity,pending_quantity,cancelled_quantity,market_protection,meta,tag,guid,tags
11,ZZ4000,230421600576946,1200000008037216,,CANCELLED,,,2023-04-21 11:08:58,2023-04-21 11:08:58,2023-04-21 11:08:58,regular,False,NSE,KOTAKBANK,492033,SL,BUY,DAY,0,MIS,5,0,1903.8,1903.8,0.0,0,5,5,0,{},TradeViaPython,01X26gRuhwdIZkC,['TradeViaPython']
12,ZZ4000,230421600584744,1000000007407731,,CANCELLED,,,2023-04-21 11:24:18,2023-04-21 11:24:18,2023-04-21 11:24:18,regular,False,NSE,ATUL,67329,SL,BUY,DAY,0,MIS,1,0,7014.5,7014.5,0.0,0,1,1,0,{},TradeViaPython,01XmY7tpXIAQE6a,['TradeViaPython']
13,ZZ4000,230421600584794,1200000008179477,,CANCELLED,,,2023-04-21 11:24:18,2023-04-21 11:24:18,2023-04-21 11:24:18,regular,False,NSE,KOTAKBANK,492033,SL,BUY,DAY,0,MIS,5,0,1903.8,1903.8,0.0,0,5,5,0,{},TradeViaPython,01XAiMV60XUuo2Q,['TradeViaPython']
14,ZZ4000,230421600591078,1000000007514582,,CANCELLED,,,2023-04-21 11:24:18,2023-04-21 11:24:18,2023-04-21 11:24:18,regular,False,NSE,ATUL,67329,SL,BUY,DAY,0,MIS,1,0,7014.5,7014.5,0.0,0,1,1,0,{},TradeViaPython,01XD2dRTpVw2vor,['TradeViaPython']
15,ZZ4000,230421600591125,1200000008297790,,CANCELLED,,,2023-04-21 11:24:18,2023-04-21 11:24:18,2023-04-21 11:24:18,regular,False,NSE,KOTAKBANK,492033,SL,BUY,DAY,0,MIS,5,0,1903.8,1903.8,0.0,0,5,5,0,{},TradeViaPython,01XC72fE4Jgtjjh,['TradeViaPython']
16,ZZ4000,230421600598766,1200000008456760,,CANCELLED,,,2023-04-21 11:24:18,2023-04-21 11:24:18,2023-04-21 11:24:18,regular,False,NSE,KOTAKBANK,492033,SL,BUY,DAY,0,MIS,5,0,1903.8,1903.8,0.0,0,5,5,0,{},TradeViaPython,01XFp685LP1MztC,['TradeViaPython']
17,ZZ4000,230421600601409,1000000007719214,,CANCELLED,,,2023-04-21 11:24:18,2023-04-21 11:24:18,2023-04-21 11:24:18,regular,False,NSE,AUBANK,5436929,SL,SELL,DAY,0,MIS,15,0,657.7,657.7,0.0,0,15,15,0,{},TradeViaPython,01XlaNsDVElQNZF,['TradeViaPython']
18,ZZ4000,230421600621428,1000000008091451,,TRIGGER PENDING,,,2023-04-21 11:27:11,2023-04-21 11:27:11,2023-04-21 11:27:11,regular,False,NSE,ATUL,67329,SL,BUY,DAY,0,MIS,1,0,7014.5,7014.5,0.0,0,1,0,0,{},TradeViaPython,01XUhKO0HDurgzs,['TradeViaPython']
19,ZZ4000,230421600621464,1200000008928347,,TRIGGER PENDING,,,2023-04-21 11:27:12,2023-04-21 11:27:12,2023-04-21 11:27:12,regular,False,NSE,KOTAKBANK,492033,SL,BUY,DAY,0,MIS,5,0,1903.8,1903.8,0.0,0,5,0,0,{},TradeViaPython,01Xb87rqOdFKemZ,['TradeViaPython']
20,ZZ4000,230421600621559,1000000008093778,,TRIGGER PENDING,,,2023-04-21 11:27:15,2023-04-21 11:27:15,2023-04-21 11:27:15,regular,False,NSE,AUBANK,5436929,SL,SELL,DAY,0,MIS,15,0,657.7,657.7,0.0,0,15,0,0,{},TradeViaPython,01X4M47LKV8rijZ,['TradeViaPython']
